                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0987,                 1.2445,                  1.258,                0.75375,                0.67829,                0.74225,                0.47102,                 1.2506,                 1.0596,                 1.2132,               0.007756,               0.007756,               0.007756
                     36,                 1.1068,                 1.2401,                 1.2621,                0.73782,                0.65684,                0.71798,                0.47993,                 1.1866,                 1.0861,                 1.1702,                0.00769,                0.00769,                0.00769
                     37,                 1.0886,                 1.2306,                 1.2552,                0.78487,                0.68656,                0.74283,                0.49556,                 1.1758,                  1.027,                 1.1627,               0.007624,               0.007624,               0.007624
                     38,                 1.1001,                 1.2191,                 1.2601,                0.80261,                0.64299,                0.72735,                0.48178,                 1.1978,                 1.0647,                 1.1721,               0.007558,               0.007558,               0.007558
                     39,                 1.0841,                 1.2047,                 1.2537,                0.78593,                0.67802,                0.74763,                0.48914,                 1.2195,                 1.0339,                 1.1866,               0.007492,               0.007492,               0.007492
                     40,                 1.0854,                  1.194,                 1.2485,                0.75309,                0.63108,                0.71527,                 0.4827,                 1.1801,                 1.0421,                 1.1555,               0.007426,               0.007426,               0.007426
                     41,                 1.0786,                 1.1865,                 1.2482,                0.80819,                0.65006,                 0.7463,                0.49719,                 1.1916,                0.98862,                 1.1683,                0.00736,                0.00736,                0.00736
                     42,                 1.0806,                 1.1855,                 1.2493,                0.75788,                0.64301,                0.70489,                0.46934,                  1.194,                 1.1044,                 1.1721,               0.007294,               0.007294,               0.007294
                     43,                 1.0752,                 1.1753,                 1.2457,                0.78856,                0.67357,                0.74596,                0.49815,                 1.1671,                 1.0136,                 1.1608,               0.007228,               0.007228,               0.007228
                     44,                 1.0724,                 1.1679,                 1.2437,                0.79543,                0.68905,                0.75066,                0.50013,                 1.1956,                0.99269,                 1.1688,               0.007162,               0.007162,               0.007162
                     45,                 1.0661,                 1.1436,                 1.2383,                0.80762,                0.64376,                0.73822,                 0.4875,                  1.216,                 1.0136,                 1.1946,               0.007096,               0.007096,               0.007096
